Step,e11,e22,e12,s11,s22,s12
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00016666666294137638,-6.454960652628366e-05,-3.432348301380444e-06,0.02612785052396212,1.7460185028223534e-10,1.267562469934852e-11
2,0.00033333332588275275,-0.00012909921399501757,-6.864696847357901e-06,0.0522557009800403,1.746018556106364e-10,1.2675624449356834e-11
3,0.0004999999888241291,-0.0001936488214637515,-1.0297045393335344e-05,0.07838355143611847,1.7460185429841465e-10,1.2675625649849298e-11
4,0.0006666666517655055,-0.0002664182006913916,-7.234790681558942e-06,0.10197123056029186,3.153082290467768e-10,2.7928105092998607e-11
5,0.000833333314706882,-0.0003604058361182747,-2.450971298296567e-05,0.11832932530067607,1.5716081551207654e-13,-1.8280481556147682e-13
6,0.0009999999776482583,-0.0004993407423767878,-3.569134547970335e-05,0.12270924567853755,1.024808393460753e-13,3.7414090444155584e-14
7,0.0011666666405896347,-0.0006454932564792294,-4.167810909366554e-05,0.1257572877225537,7.401386683127085e-14,2.5379128542388018e-14
8,0.001333333303531011,-0.0007943311134294158,-4.6350838897225356e-05,0.12853223221669396,5.6695754056396614e-14,1.4396600415308064e-14
9,0.0014999999664723873,-0.0009451512508152653,-4.9835831021042046e-05,0.13113459416413886,4.2202002752676877e-14,1.0926390378902215e-14
10,0.001666666629413764,-0.0010974263962285548,-5.231267703946518e-05,0.133629777567959,3.1983465224757775e-14,1.4183349845380893e-14
11,0.0018333332923551402,-0.0012502538281872271,-5.514139915445567e-05,0.13603170069115947,3.4797222448188864e-14,-8.535904111297835e-16
12,0.0019999999552965165,-0.0014035010962531354,-5.832652834641277e-05,0.13837734151876907,3.035898003481088e-14,4.628378674504351e-15
13,0.002166666618237893,-0.0015573304704623468,-6.126157852490827e-05,0.1407008012154758,2.961514455680331e-14,5.8379911686885336e-15
14,0.0023333332811792695,-0.0017116004897092113,-6.400347994824909e-05,0.14301035287173736,2.1327274924556594e-14,5.032517033360801e-15
15,0.0024999999441206455,-0.0018662067258125507,-6.659511973628861e-05,0.14531112073596664,2.147783220019961e-14,3.997820092899869e-15
16,0.002666666607062022,-0.0020210714440146893,-6.906867679566967e-05,0.14760629367244438,1.6384790730877515e-14,5.9076018494793586e-15
17,0.002833333270003399,-0.0021761849036359875,-7.200158882309893e-05,0.1498934022611281,9.700794396046913e-13,1.5663914266855567e-13
18,0.0029999999329447745,-0.0023316841068185927,-7.730937832955173e-05,0.15215821836436322,1.5782180288178273e-13,8.727795757363177e-14
19,0.0031666665958861515,-0.002487307189660964,-8.297105690146644e-05,0.1544203390001629,1.6690418189215642e-13,8.017116647217594e-14
20,0.003333333258827528,-0.0026430313690086805,-8.899443235905373e-05,0.1566801599069461,1.764375327322612e-13,1.0177586176634395e-13
21,0.0034999999217689036,-0.0027988388040313178,-9.538668737587089e-05,0.15893793296151573,1.7841495328789927e-13,8.583704972020821e-14
22,0.0036666665847102805,-0.0029547153900951967,-0.00010215456897647024,0.1611938188428427,1.868469125929733e-13,1.0059612002817387e-13
23,0.0038333332476516565,-0.00311064986625436,-0.00010930444221459411,0.16344792058356605,1.9582242299837456e-13,1.0742692494889509e-13
24,0.003999999910593033,-0.0032666331498622876,-0.00011684225100205966,0.16570030522823576,2.1715673229414895e-13,1.225626693730809e-13
25,0.0041666665735344095,-0.0034226578375677608,-0.00012477341750720926,0.16795101801647958,2.1235726211457645e-13,1.1351026465769842e-13
26,0.004333333236475786,-0.003578717829523145,-0.00013310270393342822,0.17020009181132378,2.228417895683928e-13,1.3232095696878303e-13
27,0.0044999998994171625,-0.0037348080457343894,-0.0001418340556914009,0.17244755345322219,2.310040135257448e-13,1.4563115292830347e-13
28,0.004666666562358539,-0.0038909242118747786,-0.00015097044180203273,0.17469342808109226,2.3655000286993013e-13,1.296024377221541e-13
29,0.0048333332252999146,-0.004047062697769993,-0.00016051370612270841,0.1769377420646313,2.1484229148071933e-13,1.4403095059747195e-13
30,0.004999999888241291,-0.004203220395906343,-0.00017046444097454675,0.17918052494807837,2.47342138140772e-13,1.5623633775794964e-13
31,0.0048999998904764655,-0.004164490631991919,-0.00016840503199656636,0.1635038146336021,-1.0476093816046851e-10,-7.605371145118654e-12
32,0.004799999892711639,-0.00412576086751068,-0.00016634562286897952,0.14782710435995505,-1.0476116119420911e-10,-7.6053720214802e-12
33,0.0046999998949468135,-0.004087031103029439,-0.00016428621374139354,0.1321503940863083,-1.0476106273266877e-10,-7.605375339778149e-12
34,0.004599999897181987,-0.004048301338548199,-0.00016222680461380756,0.11647368381266117,-1.0476122426057132e-10,-7.60542605258217e-12
35,0.004499999899417162,-0.004009571574066959,-0.00016016739548622072,0.10079697353901423,-1.0476117948149939e-10,-7.605397363139679e-12
36,0.004399999901652336,-0.003970841809585717,-0.0001581079863586343,0.08512026326536759,-1.0476092388096249e-10,-7.60539899942408e-12
37,0.0042999999038875105,-0.003932112045104478,-0.00015604857723104746,0.06944355299172064,-1.0476114189459837e-10,-7.60536612098705e-12
38,0.004199999906122684,-0.003893382280623237,-0.00015398916810346061,0.05376684271807364,-1.0476103054917825e-10,-7.605336935553954e-12
39,0.0040999999083578586,-0.0038546525161419977,-0.00015192975897587507,0.03809013244442669,-1.0476123376022128e-10,-7.605410048336561e-12
40,0.003999999910593032,-0.0038159227516607564,-0.00014987034984828822,0.022413422170779695,-1.0476114478795652e-10,-7.60539519271155e-12
41,0.0038999999128282066,-0.0037771929871795165,-0.0001478109407207018,0.006736711897132867,-1.047611668056531e-10,-7.605394881002578e-12
42,0.003799999915063381,-0.0037384632226982756,-0.00014575153159311562,-0.00893999837651398,-1.047610929499425e-10,-7.605425914166186e-12
43,0.0036999999172985555,-0.003699733458217036,-0.00014369212246552856,-0.024616708650160843,-1.0476116445285441e-10,-7.605360286357519e-12
44,0.0035999999195337295,-0.0036610036937357953,-0.00014163271333794214,-0.04029341892380784,-1.0476114790900487e-10,-7.605368140713754e-12
45,0.0034999999217689036,-0.0036222739292545545,-0.00013957330421035573,-0.05597012919745472,-1.0476109555554829e-10,-7.605369864839067e-12
46,0.0033999999240040776,-0.003583544164773314,-0.00013751389508276889,-0.07164683947110163,-1.047610423737799e-10,-7.605370487710988e-12
47,0.0032999999262392516,-0.003544839742184701,-0.00013532785918109712,-0.08726729757602401,1.5057474827198086e-14,-1.58275907431033e-14
48,0.0031999999284744265,-0.003506178395092136,-0.00013275256814326885,-0.10249909699548448,6.13154191444861e-15,4.39578890741989e-16
49,0.0030999999307096005,-0.0034667079393631726,-0.00013078328809866101,-0.11701995740586968,-2.9758361963231454e-13,2.121759061907678e-13
50,0.0029999999329447745,-0.003424994137123366,-0.00012995731268066043,-0.12982465809942906,-5.601197805404306e-12,-2.9162983729004095e-12
51,0.0028999999351799486,-0.003379401764658222,-0.0001330521423739562,-0.1409627722887796,-5.6988741763341855e-11,-4.700642385626885e-12
52,0.0027999999374151226,-0.0033324370803868215,-0.00013570652664825688,-0.1517895652366803,-6.427416433120349e-09,-3.730688665667268e-09
53,0.0026999999396502966,-0.003272977411890285,-0.00012317303752467377,-0.15865152470861826,-7.246229232840582e-15,-5.666923645827436e-16
54,0.002599999941885471,-0.003205663650641021,-0.00011430193451009347,-0.1634593638785375,-1.9361451186527953e-14,-8.319965439684607e-15
55,0.002499999944120645,-0.003135497367440634,-0.00010550711818819829,-0.16779322923489945,-5.961171244053512e-14,-3.671658143217814e-14
56,0.002399999946355819,-0.0030581534729607392,-9.745098799566706e-05,-0.17092866716968202,-5.2855586218539274e-14,-2.547079428797481e-14
57,0.002299999948590993,-0.0029791882331693196,-8.894816891441169e-05,-0.17381219197556208,-5.1695091195447386e-14,-3.671039676139095e-14
58,0.0021999999508261685,-0.002898743872702979,-8.009878669900956e-05,-0.17647429894933364,-4.331740952021702e-14,-2.3577619719207875e-14
59,0.0020999999530613425,-0.0028169541837685013,-7.100109593203359e-05,-0.17894281038435408,-4.256499416235764e-14,-2.046586493181863e-14
60,0.0019999999552965165,-0.0027339436946785126,-6.174813590836088e-05,-0.1812428778946664,-4.273710747495801e-14,-2.5317745217509113e-14
61,0.0021999999508261685,-0.002811403222510095,-6.586695386968781e-05,-0.1498894572657664,2.095222582556796e-10,1.5210740182430806e-11
62,0.00239999994635582,-0.002888862751472576,-6.998577212486063e-05,-0.11853603671847267,2.0952218657012413e-10,1.5210724231626872e-11
63,0.002599999941885472,-0.0029663222804350567,-7.410459038003346e-05,-0.08718261617117885,2.0952218672451119e-10,1.5210746118756497e-11
64,0.002799999937415124,-0.0030437818093975375,-7.822340863520628e-05,-0.055829195623884977,2.0952219918549874e-10,1.5210755170840974e-11
65,0.002999999932944776,-0.0031212413383600182,-8.23422268903791e-05,-0.024475775076591093,2.0952221361096265e-10,1.52107677610475e-11
66,0.0031999999284744274,-0.003198700867322499,-8.646104514555236e-05,0.006877645470702741,2.095221972712221e-10,1.521074469388408e-11
67,0.0033999999240040793,-0.0032761603962849794,-9.057986340072497e-05,0.03823106601799661,2.0952229878330598e-10,1.5210742060038834e-11
68,0.0035999999195337313,-0.0033536199252474606,-9.469868165589801e-05,0.06958448656529044,2.095222043960278e-10,1.5210771272107448e-11
69,0.003799999915063383,-0.003431079454209941,-9.881749991107061e-05,0.10093790711258424,2.0952220564996194e-10,1.521074792649107e-11
70,0.003999999910593035,-0.0035093008938845978,-0.00010385101711399237,0.13160951802923412,5.0144893221783585e-12,1.799076600193883e-12
71,0.004199999906122684,-0.0035944835429954315,-0.00011258292138785031,0.1574725096427092,2.4032723550659335e-10,1.9029812392298057e-10
72,0.004399999901652336,-0.0036948617143606035,-0.000122895192707287,0.17831725201658857,8.117438016502756e-13,4.628682361081222e-13
73,0.004599999897181988,-0.003847621643566481,-0.00013949965409307524,0.18539399616673727,4.3636388524173634e-13,3.0734757791514565e-13
74,0.00479999989271164,-0.004018271825142636,-0.00015367270404860467,0.18942854939671191,1.1510127507524665e-12,4.935829980455916e-13
75,0.004999999888241291,-0.004192522515885928,-0.00017000891784184173,0.19300926556646683,9.844932708305105e-13,3.920431773000677e-13
76,0.005199999883770943,-0.0043693835849856685,-0.0001860955791886318,0.19632200171182618,8.361120123740599e-13,3.6209021693483525e-13
77,0.005399999879300595,-0.00454833280934476,-0.00020185005179811089,0.1994447965667833,7.503454082669478e-13,3.740112770548306e-13
78,0.005599999874830247,-0.0047289499234046024,-0.00021731500483994142,0.20243385378387446,6.600507854677614e-13,3.2719839125769334e-13
79,0.005799999870359898,-0.004910897792378089,-0.00023259234465164902,0.2053291790899082,6.223618781439628e-13,3.1109319303086805e-13
80,0.00599999986588955,-0.005093907163363722,-0.0002477994842509843,0.20815895566707573,5.885956328090814e-13,2.950604382348047e-13
81,0.006199999861419202,-0.005277763903743634,-0.00026304589289577896,0.21094287335177067,5.43469914848792e-13,2.8068421929992323e-13
82,0.006399999856948854,-0.005462298228328206,-0.0002784232675865309,0.2136946085440875,4.658721098677197e-13,2.7688651131550246e-13
83,0.006599999852478506,-0.0056473757104174346,-0.0002940033308605986,0.21642363108890364,4.2191740968481196e-13,2.4290559466755116e-13
84,0.006799999848008155,-0.005832889919844221,-0.00030983926131365963,0.21913649457439519,4.1962429093891745e-13,2.560001426213434e-13
85,0.006999999843537807,-0.006018756497797361,-0.00032596849543800946,0.22183774273906295,9.548093698406669e-14,6.096286476400934e-14
86,0.007199999839067459,-0.006204908450763364,-0.0003424157674208378,0.2245305384133404,9.296816763536164e-14,5.391708637659146e-14
87,0.007399999834597111,-0.006391292445246976,-0.000359195890187158,0.2272170962310335,7.588837797045624e-14,4.03096622971857e-14
88,0.007599999830126762,-0.006577865904660004,-0.0003763161064627204,0.22989897878247129,7.612616734621216e-14,4.238497352961575e-14
89,0.007799999825656414,-0.006764594739319177,-0.000393777991405146,0.23257729879006522,6.947865105412158e-14,3.206269540682388e-14
90,0.007999999821186066,-0.006951451571472754,-0.0004115789514680217,0.23525285708800095,6.728017717117881e-14,4.006657339116145e-14
91,0.008199999816715717,-0.007138414345580194,-0.0004297133842916978,0.23792623693497603,6.044473401824413e-14,3.5196635825959144e-14
92,0.00839999981224537,-0.007325465237925276,-0.0004481735649435074,0.2405978686784184,5.950272562056285e-14,3.7607190431717855e-14
93,0.008599999807775021,-0.007512589798907807,-0.0004669503165914144,0.2432680742848064,6.070044594316195e-14,4.526968532471399e-14
94,0.008799999803304674,-0.007699776276507857,-0.0004860335140805666,0.24593709817345352,6.060506067755778e-14,4.100712801151079e-14
95,0.008999999798834325,-0.007887015081161856,-0.000505412459437706,0.24860512870401863,5.0086734607085276e-14,2.8674375896749127e-14
96,0.009199999794363974,-0.008074298361324844,-0.0005250761599939566,0.2512723132595701,7.449636638191218e-15,5.016758155335039e-15
97,0.009399999789893627,-0.008261619665923304,-0.0005450135328708547,0.2539387689187019,1.1255354321438842e-14,8.976491056701986e-15
98,0.009599999785423278,-0.008448973675223613,-0.0005652135540137031,0.25660459007124375,7.348105375348255e-15,5.275996002176226e-15
99,0.009799999780952931,-0.008636355985715861,-0.0005856653655580135,0.25926985390321394,6.221638433672619e-15,7.020329776338688e-15
100,0.009999999776482582,-0.008823762937769977,-0.0006063583519644328,0.26193462438472626,1.0275749194379907e-14,5.6934482312949615e-15
